Audio_ID,OAI_Words,DG_Words,AAI_Words,OAI_Conf,DG_Conf,AAI_Conf,Sim_OAI_vs_DG,Sim_OAI_vs_AAI,Sim_DG_vs_AAI,Start_Diff_OAI_DG,Start_Diff_DG_AAI,DG_Speakers,AAI_Speakers
1,175,196,171,99.0,91.6,95.25,57.16,76.21,28.04,0.16,0.08,1,1
10,174,172,173,99.0,96.36,98.35,74.76,9.61,8.99,0.08,0.0,1,1
11,247,254,237,99.0,93.08,96.59,45.81,89.38,57.34,0.16,0.0,1,1
12,14,15,14,99.0,91.38,92.93,90.91,95.04,92.96,0.48,0.16,1,1
13,140,139,139,99.0,97.54,98.52,70.25,82.19,73.26,0.08,0.08,1,1
14,68,0,67,99.0,0.0,97.37,0.0,9.19,0.0,0.0,0.16,0,1
15,540,552,508,99.0,92.87,94.77,52.88,47.42,36.69,0.08,0.08,2,2
16,46,51,49,99.0,92.76,95.95,84.94,38.55,44.33,0.4,0.16,1,2
17,692,0,682,99.0,0.0,96.28,0.0,33.76,0.0,0.0,0.32,0,8
18,432,420,424,99.0,95.81,96.24,72.04,58.39,34.94,0.32,0.08,1,1
19,59,60,59,99.0,98.31,98.99,99.14,47.33,47.48,0.16,0.0,1,1
2,101,100,96,99.0,92.75,96.09,76.11,46.67,91.11,0.16,0.16,1,1
20,102,0,121,99.0,0.0,98.55,0.0,21.3,0.0,0.0,0.24,0,1
21,95,0,96,99.0,0.0,97.76,0.0,9.77,0.0,0.0,0.24,0,1
22,413,436,409,99.0,92.77,93.72,53.4,71.11,78.84,0.24,0.16,1,1
23,91,127,97,99.0,85.81,94.49,27.14,18.71,14.33,0.16,0.08,1,1
24,148,152,148,99.0,96.47,96.12,86.48,74.07,76.29,0.08,0.0,1,2
25,274,255,259,99.0,93.54,96.52,49.07,35.8,51.51,0.0,0.08,1,2
26,94,96,89,99.0,93.2,95.01,38.95,80.54,78.38,0.08,0.0,1,2
27,190,192,183,99.0,85.01,94.38,23.08,17.78,34.59,0.0,0.0,2,1
28,1213,704,1203,99.0,92.67,95.32,11.35,31.45,20.22,0.02,0.0,2,2
29,98,76,95,99.0,93.95,93.01,80.71,37.45,43.39,0.14,0.16,1,1
3,234,236,229,99.0,92.23,96.34,56.0,42.52,42.53,0.16,0.08,1,2
30,39,46,39,99.0,91.59,91.95,68.27,66.67,75.73,0.08,0.56,1,2
31,31,0,13,99.0,0.0,77.95,0.0,48.76,0.0,0.0,0.56,0,1
32,18,24,6,99.0,87.96,91.83,61.34,42.55,41.62,15.235,0.125,1,1
33,52,58,50,99.0,91.98,92.88,88.0,89.26,69.68,2.18,2.96,1,2
34,75,83,73,99.0,93.66,94.9,89.61,74.35,84.14,0.48,0.08,1,1
35,90,88,80,99.0,89.64,94.98,35.25,45.31,55.31,0.32,0.24,1,1
36,77,73,67,99.0,93.37,93.94,79.34,71.13,72.91,3.34,4.4,1,1
37,62,69,66,99.0,92.87,93.33,91.28,75.62,27.11,0.24,0.24,1,2
38,77,81,65,99.0,87.38,92.23,9.53,38.18,39.43,0.46,0.24,1,1
39,66,80,63,99.0,90.66,91.88,14.17,9.41,26.55,0.16,0.16,1,1
4,180,189,176,99.0,94.47,96.59,52.36,45.28,34.85,0.24,0.08,2,2
40,64,64,57,99.0,94.25,94.83,58.14,90.04,82.4,0.24,0.08,1,1
41,72,68,68,99.0,93.87,93.38,55.47,73.86,71.43,0.18,1.76,1,1
42,44,51,42,99.0,93.1,93.97,85.56,89.31,88.81,0.4,0.16,1,2
43,35,43,33,99.0,94.3,94.1,59.08,69.81,36.81,2.6,0.08,1,2
44,76,84,72,99.0,84.65,92.1,32.43,39.18,55.75,0.0,0.24,1,1
45,82,91,77,99.0,90.33,95.57,53.24,48.16,48.02,0.24,0.24,1,1
46,56,62,60,99.0,94.42,92.54,11.01,5.07,18.16,0.96,0.16,1,1
47,33,31,32,99.0,95.53,94.44,26.87,24.81,89.36,0.4,0.24,1,1
48,53,65,52,99.0,88.79,92.73,75.25,72.23,70.59,0.32,0.16,1,2
49,47,51,21,99.0,78.11,89.01,6.17,52.71,55.66,0.48,9.52,1,1
5,153,152,150,99.0,94.29,97.39,67.33,48.67,44.54,0.16,0.0,1,1
50,65,74,61,99.0,89.68,95.09,84.93,88.6,82.08,0.1,0.08,1,1
6,234,234,233,99.0,98.03,98.1,93.26,22.39,20.8,0.16,0.0,1,1
7,243,256,240,99.0,93.73,96.52,87.95,90.9,69.4,0.16,0.08,1,1
8,130,130,131,99.0,98.17,98.5,99.05,99.18,97.98,0.16,0.08,1,1
9,190,0,193,99.0,0.0,96.58,0.0,23.8,0.0,0.0,0.24,0,2
